"","Latitude","Longitude","X100","NPP","W","K","z_star"
"239",-73.5,-164.5,-1.367,143.897,3.41210884614169,0.0108,315.936004272378
"240",-73.5,-163.5,-1.27,145.94,3.46153013201808,0.0113,306.330100178591
"241",-73.5,-162.5,-1.265,139.008,3.45318067118414,0.0117,295.143647109755
"242",-73.5,-161.5,-1.207,130.089,3.46719584733719,0.0112,309.571057797964
"243",-73.5,-160.5,-0.969,130.089,3.58364814225782,0.0104,344.581552140175
"244",-73.5,-159.5,-1.154,162.191,3.54344873099957,0.0117,302.858865897399
"245",-73.5,-158.5,-1.22,162.191,3.51113539489397,0.0111,316.318504044502
"246",-73.5,-157.5,-1.295,165.34,3.47968421203213,0.0104,334.585020387705
"247",-73.5,-156.5,-1.403,173.063666666667,3.43980527920183,0.0106,324.509932000172
"248",-73.5,-155.5,-1.51,156.974333333333,3.36472708736979,0.0101,333.141295779187
"249",-73.5,-154.5,-1.389,292.998,3.63696178331454,0.0101,360.095226070747
"250",-73.5,-153.5,-1.671,439.824,3.73541011884859,0.0107,349.103749425102
"251",-73.5,-152.5,-1.565,285.717333333333,3.53761904959908,0.0109,324.552206385237
"252",-73.5,-151.5,-1.059,203.564,3.65772937372743,0.0112,326.582979797092
"253",-73.5,-150.5,-1.014,345.095,3.9218573787724,0.0109,359.803429245174
"254",-73.5,-149.5,-1.315,306.7235,3.69720075918872,0.0113,327.185907892807
"255",-73.5,-148.5,-1.496,193.268,3.42659758384785,0.0102,335.940939592926
"256",-73.5,-146.5,-1.353,257.86,3.59802894556466,0.0105,342.66942338711
"257",-73.5,-145.5,-1.182,497.13,4.10183372039039,0.0117,350.584078665845
"258",-73.5,-144.5,-0.759,892.057,5.19279784479568,0.0118,440.067613965736
"259",-73.5,-143.5,-1.624,351.376666666667,3.61362975031939,0.0119,303.666365573058
"260",-73.5,-142.5,-1.74,458.485666666667,3.73090172399705,0.0102,365.77467882324
"261",-73.5,-141.5,-0.873,733.229,4.75984313515054,0.0112,424.985994209869
"262",-73.5,-140.5,-0.333,498.557,4.61779837313657,0.0119,388.050283456855
"263",-73.5,-134.5,-1.712,415.1195,3.67328632339168,0.0105,349.83679270397
"264",-73.5,-133.5,-1.741,607.086,3.98747580268345,0.0108,369.21072247069
"265",-73.5,-132.5,-1.687,445.5905,3.73677537697652,0.012,311.397948081376
"266",-73.5,-131.5,-1.649,670.1205,4.15452984323963,0.01,415.452984323963
"267",-73.5,-129.5,-1.701,1435.945,5.81507561485192,0.0101,575.750060876428
"268",-73.5,-128.5,-1.707,377.023,3.61356367534213,0.0114,316.979269766854
"269",-73.5,-127.5,-1.73,294.89,3.47177270324537,0.0106,327.525726721262
"270",-73.5,-118.5,-1.686,724.2165,4.23475554992151,0.0109,388.509683479037
"271",-73.5,-117.5,-1.675,847.40675,4.48215190650145,0.0117,383.089906538586
"272",-73.5,-116.5,-1.625,710.1858,4.24397288325346,0.0105,404.187893643187
"273",-73.5,-115.5,-1.665,740.8364,4.27889371081172,0.0115,372.077713983628
